NAME,LAT,LONG,MRC
Blue,33.500,-109.000,33109-E1
Blue Hills,34.375,-108.125,34108-D2
Blue Hole,35.250,-103.125,35103-C2
Blue Mesa,34.750,-107.625,34107-G6
Blue Mountain,32.000,-109.125,32109-A2
Blue Mountain,33.625,-107.375,33107-F4
Bluewater,35.250,-107.875,35107-C8
Bluff Springs,32.750,-105.625,32105-G6
Bluit,33.625,-103.125,33103-F2
Boiler Gap,36.625,-103.375,36103-F4
Boiling Over Well,36.625,-109.125,36109-F2
Bond Draw,32.125,-104.125,32104-B2
Bondad Hill,37.000,-107.750,37107-A7
Bonine Canyon,34.500,-107.875,34107-E8
Bonner Canyon,33.125,-107.875,33107-B8
Bonner Lake,34.250,-104.125,34104-C2
Bookout Ranch,35.250,-104.250,35104-C3
Bootleg Ridge,32.250,-103.625,32103-C6
Borica,34.625,-104.625,34104-F6
Borica SW,34.500,-104.625,34104-E6
Borrego Pass,35.500,-107.875,35107-E8
Bosque Peak,34.750,-106.375,34106-G4
Bottomless Lakes,33.250,-104.250,33104-C3
Bovina,34.500,-102.875,34102-E8
Bowlin Ranch,32.125,-107.750,32107-B7
Box Canyon Ranch,32.500,-104.625,32104-E6
Box Lake,33.750,-105.375,33105-G4
Branson,37.000,-103.875,37103-A8
Branson SE,37.000,-103.750,37103-A7
Brazos,36.750,-106.500,36106-G5
Brazos Peak,36.750,-106.375,36106-G4
Bread Springs,35.375,-108.625,35108-D6
Brinson Ranch,32.500,-102.875,32102-E8
Briscoe Ranch,35.000,-103.750,35103-A7
Broadview,34.750,-103.125,34103-G2
Brockman,32.000,-108.375,32108-A4
Broke Off Mountain,36.750,-106.125,36106-G2
Broken Back Crater,33.750,-106.000,33106-G1
Bronco,33.250,-103.000,33103-C1
Bronco NE,33.375,-103.000,33103-D1
Broom Mountain,34.625,-107.500,34107-F5
Brunson Ranch,31.875,-103.375,31103-H4
Brushy Mountain,32.750,-108.625,32108-G6
Buckeye,32.750,-103.500,32103-G5
Buckeye NE,32.875,-103.500,32103-H5
Buckeye NW,32.875,-103.625,32103-H6
Buckhorn,33.000,-108.625,33108-A6
Buell Park,35.875,-109.000,35109-H1
Bueyeros,35.875,-103.625,35103-H6
Bueyeros NE,35.875,-103.500,35103-H5
Buffalo Springs,35.625,-103.625,35103-F6
Bug Scuffle Canyon,32.625,-105.750,32105-F7
Bull Basin,33.625,-108.875,33108-F8
Bull Canyon,35.375,-105.750,35105-D7
Bull Gap,33.500,-106.000,33106-E1
Bull Gap SW,33.500,-106.125,33106-E2
Bullard Peak,32.625,-108.500,32108-F5
Bulldog Mesa,35.000,-103.625,35103-A6
Bullis Spring Ranch,32.500,-105.000,32105-E1
Burned Mountain,36.625,-106.125,36106-F2
Burned Timber Canyon,35.125,-108.500,35108-B5
Burnham Trading Post,36.250,-108.375,36108-C4
Burnt Corral Canyon,33.250,-108.125,33108-C2
Burnt Mesa,36.875,-107.500,36107-H5
Burro Lake,34.625,-105.000,34105-F1
Burro Peak,32.500,-108.375,32108-E4
Bustos Well,34.000,-106.625,34106-A6
Button Mesa NE,33.625,-103.500,33103-F5
Button Mesa North,33.625,-103.625,33103-F6
Button Mesa South,33.500,-103.625,33103-E6
C And L Draw,31.875,-105.250,31105-H3
C Bar Ranch,32.375,-108.375,32108-D4
C-N Lake,33.875,-107.750,33107-H7
Caballo,32.875,-107.250,32107-H3
Cabezon Peak,35.500,-107.000,35107-E1
Cabin Wells,31.500,-108.125,31108-E2
Cabra Hill,35.250,-104.625,35104-C6
Cactus Tank,35.250,-104.750,35104-C7
Cal Ship Mesa,34.250,-107.750,34107-C7
Caliente Canyon North,36.875,-104.750,36104-H7
Caliente Canyon South,36.750,-104.750,36104-G7
Camaleon Draw East,34.250,-105.250,34105-C3
Camaleon Draw West,34.250,-105.375,34105-C4
Cambray,32.125,-107.250,32107-B3
Camel Mountain,31.750,-107.250,31107-G3
Cammak Camp,35.375,-103.125,35103-D2
Campana,35.500,-103.875,35103-E8
Campbell,33.500,-104.125,33104-E2
Campbell Well,31.375,-108.125,31108-D2
Canada,35.625,-106.375,35106-F4
Canada Calladita,35.625,-107.250,35107-F3
Canada Colorado,34.750,-104.250,34104-G3
Canada Ojitos,36.375,-106.875,36106-D8
Canador Peak,32.625,-108.875,32108-F8
Canal Creek,36.875,-108.750,36108-H7
Candy Mesa,34.500,-104.000,34104-E1
Canjilon,36.375,-106.375,36106-D4
Canjilon Mountain,36.500,-106.250,36106-E3
Canjilon SE,36.250,-106.250,36106-C3
Canon Agua Buena,33.875,-106.625,33106-H6
Canon Ancho,35.750,-104.500,35104-G5
Canon Colorado,36.000,-104.375,36104-A4
Canon Encierro,35.750,-104.250,35104-G3
Canon Las Cuevas,35.875,-104.375,35104-H4
Canon Olguin,35.500,-104.500,35104-E5
Canon Pedroso,35.625,-104.750,35104-F7
Canon Plaza,36.500,-106.125,36106-E2
Canoncito School,35.000,-107.000,35107-A1
Canones,36.125,-106.375,36106-B4
Cantaralo Spring,34.625,-108.875,34108-F8
Canteen Canyon,33.000,-108.500,33108-A5
Canutillo,31.875,-106.500,31106-H5
Canyon Creek Mountains,33.375,-108.250,33108-D3
Canyon Hill,33.000,-108.375,33108-A4
Capilla Peak,34.625,-106.375,34106-F4
Capitan,33.500,-105.500,33105-E5
Capitan Pass,33.500,-105.375,33105-E4
Capitan Peak,33.500,-105.250,33105-E3
Capitol Dome,32.125,-107.625,32107-B6
Capitol Peak,33.375,-106.375,33106-D4
Capitol Peak SE,33.250,-106.250,33106-C3
Caprock,33.375,-103.625,33103-D6
Caprock Mountain,32.500,-108.750,32108-E7
Captain Davis Mountain,35.250,-106.000,35106-C1
Capulin,36.625,-103.875,36103-F8
Car Top Butte,36.125,-103.375,36103-B4
Carbon Springs,34.250,-107.125,34107-C2
Carlsbad Caverns,32.125,-104.375,32104-B4
Carlsbad East,32.375,-104.125,32104-D2
Carlsbad West,32.375,-104.250,32104-D3
Carne,32.250,-107.500,32107-C5
Carnero Peak,32.250,-104.375,32104-C4
Carpenter Mesa NW,35.375,-103.875,35103-D8
Carpenter Mesa SW,35.250,-103.875,35103-C8
Carracas,37.000,-107.250,37107-A3
Carracas Canyon,36.875,-107.125,36107-H2
Carrisito Spring,34.500,-109.000,34109-E1
Carrizozo East,33.625,-105.750,33105-F7
Carrizozo West,33.625,-105.875,33105-F8
Carson,36.250,-105.750,36105-C7
Carson Trading Post,36.375,-108.000,36108-D1
Casa Colorada,34.500,-106.625,34106-E6
Casa Grande,36.875,-104.875,36104-H8
Casa Grande SW,36.750,-104.875,36104-G8
Casa Salazar,35.375,-107.000,35107-D1
Casamero Lake,35.500,-108.000,35108-E1
Cat Mesa,34.000,-106.000,34106-A1
Cat Mountain,33.125,-105.875,33105-B8
Catfish Falls,35.000,-104.625,35104-A6
Caudill Ranch,33.125,-103.750,33103-B7
Causey East,33.875,-103.000,33103-H1
Causey West,33.875,-103.125,33103-H2
Cawley Draw,32.375,-104.625,32104-D6
Ceadro Spring,34.750,-109.125,34109-G2
Ceadro Spring SE,34.750,-109.000,34109-G1
Cebolla,36.500,-106.375,36106-E4
Cebollita Peak,34.625,-107.750,34107-F7
Cedar Canyon,36.625,-106.875,36106-F8
Cedar Hill,36.875,-107.875,36107-H8
Cedar Point,33.000,-103.875,33103-A8
Cedar Point SE,33.000,-103.750,33103-A7
Cedarvale,34.250,-105.625,34105-C6
Cedarvale NE,34.375,-105.500,34105-D5
Cement Lake,36.625,-107.000,36107-F1
Center Peak,31.500,-108.625,31108-E6
Centerfire Bog,33.875,-108.750,33108-H7
Centerville Corner,35.750,-103.125,35103-G2
Cerro,36.750,-105.500,36105-G5
Cerro Alesna,35.375,-107.500,35107-D5
Cerro Alto,34.750,-108.250,34108-G3
Cerro Alto Mountain,31.875,-105.875,31105-H8
Cerro Brillante,34.750,-108.125,34108-G2
Cerro Conejo,35.375,-106.750,35106-D7
Cerro De Corazon,35.375,-104.500,35104-D5
Cerro De La Campana,33.750,-106.625,33106-G6
Cerro De La Campana SE,33.750,-106.500,33106-G5
Cerro De La Olla,36.750,-105.750,36105-G7
Cerro De Los Taoses,36.500,-105.750,36105-E7
Cerro Del Oro,34.625,-107.375,34107-F4
Cerro Diablo,31.875,-105.375,31105-H4
Cerro Hueco,34.875,-108.125,34108-H2
Cerro Montoso,34.250,-106.500,34106-C5
Cerro Negro,36.000,-104.875,36104-A8
Cerro Parido,35.500,-107.250,35107-E3
Cerro Pelon,35.250,-107.500,35107-C5
Cerro Pomo,34.625,-108.250,34108-F3
Cerro Prieto,34.500,-108.500,34108-E5
Cerro Tinaja,35.375,-107.125,35107-D2
Cerro Verde,34.750,-107.250,34107-G3
Cerro Vista,36.125,-105.375,36105-B4
Cerro del Grant,36.000,-106.500,36106-A5
Chacon,36.125,-105.250,36105-B3
Chafin Well,35.125,-109.000,35109-B1
Chama,36.875,-106.500,36106-H5
Chama Peak,37.000,-106.625,37106-A6
Chaperito,35.250,-104.875,35104-C8
Charette Lake,36.125,-104.750,36104-B7
Cherokee Valley,35.625,-103.250,35103-F3
Cherry Valley Lake,35.750,-104.750,35104-G7
Cheyenne Draw,31.875,-103.250,31103-H3
Chi Chil Tah,35.125,-108.875,35108-B8
Chicken Mountain,34.625,-107.250,34107-F3
Chili,36.000,-106.125,36106-A2
Chilili,34.875,-106.125,34106-H2
Chimayo,36.000,-105.875,36105-A8
Chimney Hill,34.625,-108.375,34108-F4
Chimney Lake,32.625,-105.250,32105-F3
Chimney Rock,36.750,-108.500,36108-G5
Chinaberry Canyon,35.625,-103.875,35103-F8
Chise,33.250,-107.500,33107-C5
Chivita Canyon,33.875,-104.875,33104-H8
Chromo,37.000,-106.750,37106-A7
Chromo Mountain,36.875,-106.625,36106-H6
Chupadera,34.250,-106.250,34106-C3
Chupadera Spring,34.125,-106.250,34106-B3
Chupadero Mountain,33.875,-105.500,33105-H5
Church Mountain,33.500,-105.750,33105-E7
Church Rock,35.500,-108.500,35108-E5
Chuska Lake,35.750,-108.625,35108-G6
Chuska Peak,35.875,-108.750,35108-H7
Cienega Ranch,33.750,-107.000,33107-G1
Cienega School,32.000,-105.000,32105-A1
Cimarron,36.500,-104.875,36104-E8
Cimarron SE,36.500,-104.750,36104-E7
Ciniza,35.375,-108.375,35108-D4
Circle Bar Ranch,35.750,-103.625,35103-G6
Circle Mesa,32.750,-108.375,32108-G4
Circle S Mesa,34.875,-103.875,34103-H8
Cistern Draw,33.750,-105.000,33105-G1
Clanton Draw,31.500,-108.875,31108-E8
Clapham,36.125,-103.250,36103-B3
Clark Spring Canyon,32.750,-107.375,32107-G4
Claunch,34.125,-105.875,34105-B8
Claunch SE,34.000,-105.750,34105-A7
Clayton,36.375,-103.125,36103-D2
Clayton SW,36.250,-103.125,36103-C2
Clements Ranch,33.000,-105.250,33105-A3
Cleones Tank,32.250,-105.375,32105-C4
Cliff,32.875,-108.500,32108-H5
Clifton House,36.750,-104.375,36104-G4
Clines Corners,35.000,-105.625,35105-A6
Cloudcroft,32.875,-105.625,32105-H6
Clovis,34.375,-103.125,34103-D2
Cobert Mesa North,37.000,-103.500,37103-A5
Cobert Mesa South,36.875,-103.500,36103-H5
Cochiti Dam,35.625,-106.250,35106-F3
Colfax,36.500,-104.625,36104-E6
Collier Draw,35.375,-106.875,35106-D8
Collins Park,33.625,-108.375,33108-F4
Colmor,36.125,-104.625,36104-B6
Colonias,35.000,-104.750,35104-A7
Colorado Canyon,34.625,-104.250,34104-F3
Columbus,31.750,-107.625,31107-G6
Columbus NE,31.875,-107.500,31107-H5
Columbus SE,31.750,-107.500,31107-G5
Comanche Peak,36.000,-105.250,36105-A3
Comanche Point,36.750,-105.250,36105-G3
Comanche Ranch,34.500,-107.000,34107-E1
Comanche Spring,33.375,-104.250,33104-D3
Conchas Dam,35.375,-104.125,35104-D2
Conejo Creek East,34.125,-104.250,34104-B3
Conejo Creek West,34.125,-104.375,34104-B4
Conner Well,33.125,-104.000,33104-B1
Continental Divide,35.375,-108.250,35108-D3
Cooley Lake,34.000,-104.125,34104-A2
Cooper Canyon,33.875,-106.125,33106-H2
Cooper Ranch,34.500,-104.500,34104-E5
Cooper-Good Ranch,33.125,-103.625,33103-B6
Copperas Peak,33.000,-108.125,33108-A2
Cordova Canyon,36.750,-106.875,36106-G8
Corlena,36.250,-102.875,36102-C8
Corlena NW,36.375,-102.875,36102-D8
Corn Ranch,33.375,-104.625,33104-D6
Corner Well,31.250,-108.125,31108-C2
Cornucopia Canyon,32.500,-105.250,32105-E3
Cornucopia Ranch,32.375,-105.250,32105-D3
Cornucopia Ranch SE,32.250,-105.250,32105-C3
Cornudas Mountain,32.000,-105.500,32105-A5
Corona North,34.250,-105.500,34105-C5
Corona South,34.125,-105.500,34105-B5
Correo,34.875,-107.125,34107-H2
Costilla,36.875,-105.500,36105-H5
Cotton City,32.000,-108.875,32108-A8
Cottonwood Canyon,35.250,-108.250,35108-C3
Cottonwood Draw,33.750,-104.250,33104-G3
Cottonwood Hills,32.000,-104.125,32104-A2
Cottonwood Springs,35.875,-103.375,35103-H4
Counselor,36.125,-107.375,36107-B4
Cove,36.500,-109.125,36109-E2
Cow Butte,36.875,-109.125,36109-H2
Cow Canyon,35.125,-103.875,35103-B8
Cow Mountain,36.500,-103.750,36103-E7
Cow Springs,34.125,-108.875,34108-B8
Cow Springs Mountain,32.375,-108.125,32108-D2
Cowboy Mesa,34.000,-105.000,34105-A1
Cowboy Mesa NE,34.125,-105.000,34105-B1
Cowboy Mesa NW,34.125,-105.125,34105-B2
Cowboy Mesa SW,34.000,-105.125,34105-A2
Cowles,35.750,-105.625,35105-G6
Cox Peak,34.125,-108.000,34108-B1
Coyote Canyon,35.750,-108.500,35108-G5
Coyote Canyon NW,35.875,-108.625,35108-H6
Coyote Draw,33.625,-104.375,33104-F4
Coyote Hill,31.750,-107.375,31107-G4
Coyote Hills,34.125,-109.125,34109-B2
Coyote Mesa,36.375,-104.875,36104-D8
Coyote Peak,32.000,-108.500,32108-A5
Crevasse Canyon,35.750,-108.875,35108-G8
Crocker,33.250,-107.000,33107-C1
Crookson Peak,32.875,-108.875,32108-H8
Crosby Springs,34.125,-107.875,34107-B8
Cross L Ranch,36.875,-103.625,36103-H6
Cross L Ranch SW,36.750,-103.625,36103-G6
Crossroads,33.500,-103.250,33103-E3
Crow Mesa East,36.250,-107.500,36107-C5
Crow Mesa West,36.250,-107.625,36107-C6
Crow Point,34.875,-107.625,34107-H6
Crownpoint,35.625,-108.125,35108-F2
Cruzville,33.750,-108.625,33108-G6
Crystal,36.000,-108.875,36108-A8
Cuates School,36.750,-103.250,36103-G3
Cub Mountain,33.500,-105.875,33105-E8
Cuba,36.000,-106.875,36106-A8
Cubero,35.000,-107.500,35107-A5
Cuchillo,33.125,-107.250,33107-B3
Cuervo,35.000,-104.375,35104-A4
Culberson Ranch,32.375,-108.625,32108-D6
Culebra Peak,37.000,-105.125,37105-A2
Culp Canyon,32.500,-105.750,32105-E7
Culp Draw,32.000,-105.125,32105-A2
Culp Ranch,33.250,-103.875,33103-C8
Cumbres,37.000,-106.375,37106-A4
Cunavea Basin,34.750,-103.875,34103-G8
Cundiyo,35.875,-105.875,35105-H8
Curlew Lake,33.625,-103.875,33103-F8
Curlew Lake SE,33.500,-103.750,33103-E7
Curtis Camp,36.750,-104.625,36104-G6
Custer Mountain,32.125,-103.250,32103-B3
Cutter,33.000,-107.000,33107-A1
Cutter Canyon,36.625,-107.625,36107-F6
D Cross Mountain,34.375,-107.625,34107-D6
Dale Mountain,36.875,-104.125,36104-H2
Dalies,34.750,-106.750,34106-G7
Dalies NW,34.875,-106.875,34106-H8
Dallas Store,33.250,-103.500,33103-C5
Dalton Pass,35.625,-108.250,35108-F3
Dark Canyon,33.000,-104.875,33104-A8
Datil,34.125,-107.750,34107-B7
Davies Tank,32.250,-106.375,32106-C4
Dawson,36.625,-104.750,36104-F7
Day Canyon,34.875,-103.125,34103-H2
Dayton,32.625,-104.375,32104-F4
Deadman Canyon,32.625,-105.875,32105-F8
Deadman Lake,33.125,-105.250,33105-B3
Dean Ranch,33.000,-103.625,33103-A6
Deep Lake,35.000,-109.125,35109-A2
Deep Well,33.625,-104.750,33104-F7
Deer Mesa,36.000,-107.250,36107-A3
Deering Place,33.875,-104.250,33104-H3
Delgadita Mesa,36.625,-107.500,36107-F5
Dell City,31.875,-105.125,31105-H2
Delphos,34.000,-103.375,34103-A4
Deming East,32.250,-107.625,32107-C6
Deming West,32.250,-107.750,32107-C7
Dennis Canyon,37.000,-103.250,37103-A3
Denton Camp,33.750,-104.000,33104-G1
Denver City SW,32.750,-102.875,32102-G8
Derrick Draw,33.000,-104.125,33104-A2
Des Moines,36.750,-103.750,36103-G7
Desert,32.125,-106.125,32106-B2
Desert NE,32.125,-106.000,32106-B1
Desert SE,32.000,-106.000,32106-A1
Desert SW,32.000,-106.125,32106-A2
Devils Well,34.000,-104.625,34104-A6
Dexter East,33.125,-104.250,33104-B3
Dexter West,33.125,-104.375,33104-B4
Diablo Range,33.125,-108.375,33108-B4
Diamond A Ranch,33.250,-104.750,33104-C7
Diamond Mound,32.875,-104.125,32104-H2
Dilia,35.125,-105.000,35105-B1
Dillon Mountain,33.750,-108.750,33108-G7
Divine Lake,36.125,-104.000,36104-B1
Dix Creek,33.125,-109.125,33109-B2
Dog Lake,32.750,-103.625,32103-G6
Dog Mountains,31.250,-108.250,31108-C3
Dog Springs,34.250,-107.625,34107-C6
Domingo Peak,33.000,-105.750,33105-A7
Dona Ana,32.375,-106.750,32106-D7
Dora,33.875,-103.250,33103-H3
Dora NW,33.875,-103.375,33103-H4
Dora SW,33.750,-103.375,33103-G4
Dorsey Ranch,32.875,-108.375,32108-H4
Dos Lomas,35.250,-107.750,35107-C7
Double Wells,31.625,-108.125,31108-F2
Doubtful Canyon,32.250,-109.000,32109-C1
Dough Mountain,34.875,-107.250,34107-H3
Doyle Hill,35.625,-103.000,35103-F1
Doyle Peak,31.750,-108.250,31108-G3
Dugout Canyon,33.000,-106.750,33106-A7
Dulce,36.875,-106.875,36106-H8
Dulce Draw,33.875,-105.875,33105-H8
Duncan,32.625,-109.000,32109-F1
Dunken,32.750,-105.125,32105-G2
Dunlap,34.000,-104.500,34104-A5
Dunlap NE,34.125,-104.500,34104-B5
Dunlap Ranch,34.500,-105.375,34105-E4
Dunlap Sill,33.875,-104.500,33104-H5
Duoro,34.375,-104.875,34104-D8
Duran,34.375,-105.375,34105-D4
Duran NE,34.375,-105.250,34105-D3
Dusty,33.625,-107.625,33107-F6
Dutch Blue Creek,33.375,-109.125,33109-D2
Dwyer,32.625,-107.750,32107-F7
Dwyer SE,32.500,-107.750,32107-E7
Eagle Eye Peak,32.500,-108.500,32108-E5
Eagle Mountain,31.250,-108.375,31108-C4
